Grid,Midden,MomTagL,MomTagR,MomColors,SquirrelID,MySQL,PlaybackTreatment,PartDate_Litter1_,Litter1N1Date,Litter1N2Date,Litter2PartDate,Litter2N1Date,Litter2N2Date,AxyPeriod_BeginningOrLac_,Axy_,DateStart,TimeStart,DeployDate,DeployTime,DateRemoved,TimeRemoved,DateTurnedOff,SIGNAL1START,SIGNAL1END,SIGNAL2START,SIGNAL2END,TimeTurnedOff,filename
JO,O.1.,H4766,H4767,O/B,20417,SELECT id FROM `KRSP 2019`.squirrel where taglft='H4766' AND tagrt='H4767';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,16,2019-05-11,20:59:24,2019-05-13,09:37:00,2019-05-23,10:19:00,2019-05-25,16:35:00,16:35:30,16:36:00,16:36:20,16:50:05,BJD16_20417_MAY2019_BJD16_1.csv
JO,F3,H3582,H3583,P/P,20046,SELECT id FROM `KRSP 2019`.squirrel where taglft='H3582' AND tagrt='H3583';,RATTLE,Pre-pregnancy,,,,,,BEGINNING,7,2019-05-12,15:17:39,2019-05-13,10:55:54,2019-05-29,10:46:00,2019-05-29,16:12:00,16:12:30,16:13:00,16:13:20,17:05:35,BJD7_20046_BJD7_1.csv
BT,N4.,M3740,M3741,Y/P,23341,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3740' AND tagrt='M3741';,SHAM,Pre-pregnancy/PREGNANCY,,,,,,BEGINNING,9,2019-05-12,15:31:12,2019-05-13,09:39:00,2019-06-17,08:43:00,2019-06-18,12:30:00,12:30:30,12:31:00,12:20:00,13:11:32,BJD9_23341_June2019_BJD9_1.csv
JO,B3.,M2758,M3277,B!/Y!,21922,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2758' AND tagrt='M3277';,RATTLE,Male,,,,,,BEGINNING,11,2019-05-12,15:32:33,2019-05-13,08:53:01,2019-05-22,11:41:00,2019-05-22,13:35:00,13:35:30,13:36:00,13:36:20,13:52:25,BJD11_21922_MAY2019_BJD11_1.csv
JO,O12,H3280,H3281,O!/W!,19531,SELECT id FROM `KRSP 2019`.squirrel where taglft='H3280' AND tagrt='H3281';,RATTLE,Male,,,,,,BEGINNING,20,2019-05-12,15:33:08,2019-05-13,11:29:03,2019-05-25,12:31:00,2019-05-25,16:35:00,16:35:30,16:36:00,16:36:20,16:49:28,BJD20_19531_MAY2019_BJD20_1.csv
BT,L3,M2766,M1841,Y/Y,23889,SELECT id FROM `KRSP 2019`.squirrel where taglft='M2766' AND tagrt='M1841';,SHAM,14-Jun-19,LL,N/A,28-Jul-19,,,BEGINNING/REPRODUCTION,3,2019-05-12,14:48:05,2019-05-13,11:13:00,2019-08-31,09:10:00,2019-09-12,15:02:00,15:02:30,NaN,NaN,15:13:20,
JO,J17.,H4944,H4946,BK!/G!,20603,SELECT id FROM `KRSP 2019`.squirrel where taglft='H4944' AND tagrt='H4946';,RATTLE,Male,,,,,,BEGINNING,5,2019-05-12,15:05:20,2019-05-14,09:16:50,2019-05-29,12:49:00,2019-05-29,16:12:00,16:12:30,16:13:00,16:13:20,17:05:05,BJD5_20603_MAY2019_BJD5_1.csv
JO,L.6.,M1494,M1216,W!/W!,21965,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1494' AND tagrt='M1216';,RATTLE,Male,,,,,,BEGINNING,6,2019-05-12,15:04:55,2019-05-13,11:32:20,2019-05-22,10:19:00,2019-05-22,13:35:00,13:35:30,13:36:00,13:36:20,13:54:45,BJD6_21965_MAY2019_BJD06_1.csv
BT,N.3.,M3040,M3041,O!/O!,21949,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3040' AND tagrt='M3041';,SHAM,Male,,,,,,BEGINNING,22,2019-05-18,15:41:13,2019-05-19,08:02:00,2019-06-01,09:20:00,2019-06-01,10:02:30,10:03:00,10:03:30,10:03:50,10:14:41,BJD22_21949_MAY2019_BJD22_1_1.csv
JO,1,F5805,M0916,O!/P!,21398,SELECT id FROM `KRSP 2019`.squirrel where taglft='F5805' AND tagrt='M0916';,RATTLE,Male,,,,,,BEGINNING,18,2019-05-18,15:40:39,2019-05-19,08:40:00,2019-05-25,11:34:00,2019-05-25,16:35:00,16:35:30,16:36:00,16:36:20,16:48:40,BJD18_21398_MAY2019_BJD18_1.csv
BT,M5.,F9372,F9373,R!/BK!,23927,SELECT id FROM `KRSP 2019`.squirrel where taglft='F9372' AND tagrt='F9373';,SHAM,Male,,,,,,BEGINNING,19,2019-05-18,15:40:28,2019-05-20,08:45:00,2019-05-27,10:18:00,2019-05-28,13:48:00,13:48:30,13:49:00,13:49:20,14:04:23,BJD19_23927_MAY2019_BJD19_2.csv
RR,I0,M5965,M5964,G/Y,23866,SELECT id FROM `KRSP 2019`.squirrel where taglft='M5965' AND tagrt='M5964';,RATTLE,DEAD,N/A,N/A,N/A,N/A,N/A,REPRODUCTION,14,2019-05-11,20:58:53,2019-05-22,10:35:00,2019-06-23,07:35:00,2019-06-23,18:08:00,18:08:30,18:09:00,18:09:20,18:24:54,BJD14_23866_MAY-JUNE_BJD14(ATTEMPT2)_1.csv
JO,J11.,H4553,H4554,R/R,20488,SELECT id FROM `KRSP 2019`.squirrel where taglft='H4553' AND tagrt='H4554';,RATTLE,5-Jun-19,6-Jun-19,DEAD,N/A,N/A,N/A,BEGINNING,13,2019-05-18,15:38:08,2019-05-22,09:49:00,2019-06-27,01:38:00,2019-06-27,11:50:00,11:50:30,11:51:00,11:51:20,12:12:07,BJD13_20488_May2019_BJD13_2.csv
JO,Q4 (T.1),M1052,M1053,Bk/Bk,21465,SELECT id FROM `KRSP 2019`.squirrel where taglft='M1052' AND tagrt='M1053';,RATTLE,27-May-19,3-Jun-19,27-Jun-19,N/A,N/A,N/A,REPRODUCTION,6,2019-05-22,16:06:41,2019-05-23,10:39:00,2019-07-11,14:16:00,2019-07-11,17:48:00,17:48:30,17:49:00,17:49:20,18:05:06,BJD6_21465_MAY-JULY2019_BJD06_2.csv
JO,T11,M3686,M3687,B/O,22290,SELECT id FROM `KRSP 2019`.squirrel where taglft='M3686' AND tagrt='M3687';,RATTLE,5-Jun-19,6-Jun-19,LL (1ST LITTER),18-Jul-19,22-Jul-19,LL?,REPRODUCTION,10,2019-05-22,15:20:48,2019-05-23,13:15:00,2019-08-03,10:54:00,2019-08-04,11:22:00,11:22:30,11:23:00,11:23:20,11:48:13,BJD10_22290_May-July2019_BJD10_1.csv
