"","year","grid","squirrel_id","cache_size_total","cache_size_total2","cache_size_new_open","cache_size_new_closed","cache_size_new","cache_size_old"
"547",2010,"KL",12611,35755.3912877167,NA,NA,NA,34452.3641928858,1303.02709483084
"548",2012,"KL",12611,16630.806109941,NA,NA,NA,3326.16122198819,13304.6448879528
"549",2013,"KL",12613,64448.3988416087,NA,NA,NA,35256.3272053706,29192.0716362381
"550",2014,"KL",12613,44049.3701534112,NA,NA,NA,31969.5046138916,12079.8655395197
"551",2016,"KL",12613,24626.9448114904,NA,NA,NA,0,24626.9448114904
"552",2017,"KL",12613,5847.78020034613,NA,NA,NA,102.592635093792,5745.18756525233
"553",2018,"KL",12613,3246.96690717895,3246.96690717895,0,0,0,3246.96690717895
"554",2011,"KL",12620,9239.30618448307,NA,NA,NA,0,9239.30618448307
"555",2012,"KL",12620,1909.81344402541,NA,NA,NA,236.87608608067,1672.93735794473
"556",2011,"KL",12625,69.7433569096934,NA,NA,NA,0,69.7433569096934
"557",2013,"KL",12625,4672.17659441874,NA,NA,NA,4672.17659441874,0
"558",2014,"KL",12625,6338.16317861741,NA,NA,NA,6126.1056745001,212.057504117311
"559",2011,"KL",12626,44437.8280850276,NA,NA,NA,0,44437.8280850276
"560",2013,"KL",12626,2113.73225967451,NA,NA,NA,2113.73225967451,0
"561",2011,"KL",12628,8888.62590452611,NA,NA,NA,0,8888.62590452611
"562",2012,"KL",12628,83.9885160983146,NA,NA,NA,50.3931096589888,33.5954064393258
"563",2013,"KL",12629,15166.2152497915,NA,NA,NA,14845.5764495845,320.638800207008
"564",2012,"AG",12646,26466.5436597081,NA,NA,NA,1712.36434574729,24754.1793139608
"565",2012,"AG",12647,12315.043202072,NA,NA,NA,70.3716754404114,12244.6715266316
"566",2012,"KL",12653,8215.81456785169,NA,NA,NA,3586.59925297079,4629.2153148809
"567",2014,"KL",12653,31237.2975411102,NA,NA,NA,30860.9445586872,376.352982423015
"568",2016,"KL",12653,6040.3401950571,NA,NA,NA,0,6040.3401950571
"569",2017,"KL",12653,1925.01089848715,NA,NA,NA,1688.60605130451,236.404847182632
"570",2018,"KL",12653,0,0,0,0,0,0
"571",2012,"KL",12657,21707.7572828207,NA,NA,NA,152.602863148124,21555.1544196725
"572",2013,"KL",12657,28002.900277038,NA,NA,NA,25786.192500665,2216.70777637296
"573",2011,"KL",12664,148.440252882118,NA,NA,NA,0,148.440252882118
