squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
19943,0.414583333333333,0.45,0.135416666666667,0,0,0,2016,15-Dec-2015,15-Dec-2015 23:59:00,1439,1245,648,1
21923,0.419760101010101,0.434090909090909,0.14614898989899,0,0,0,2016,03-Jan-2016,13-Jan-2016 23:59:00,15839,13525,6876,1
20739,0.356527777777778,0.387305555555556,0.256,0.000166666666666667,0,0,2016,03-Jan-2016,27-Jan-2016 23:59:00,35999,26778,13949,1
12007,0.248611111111111,0.436271367521368,0.307692307692308,0.00742521367521367,0,1,2014,2014-03-14 00:00:00,2014-03-26 23:59:00,18719,12821,8306,2
13039,0.334623015873016,0.429960317460317,0.234027777777778,0.00138888888888889,0,1,2014,2014-03-03 00:00:00,2014-03-09 23:59:00,10019,7707,4348,2
12825,0.236545138888889,0.412934027777778,0.350347222222222,0.000173611111111111,0,1,2014,2014-03-09 00:00:00,2014-03-16 23:59:00,11459,7482,4759,2
12364,0.258996212121212,0.420991161616162,0.314646464646465,0.00536616161616162,0,1,2014,2014-02-28 00:00:00,2014-03-21 23:59:00,31619,21542,13507,2
12576,0.242100694444444,0.397916666666667,0.359982638888889,0,0,1,2014,2014-03-06 00:00:00,2014-03-13 23:59:00,11459,7373,4584,2
13466,0.262847222222222,0.379340277777778,0.3578125,0,0,1,2014,2014-03-12 00:00:00,2014-03-15 23:59:00,5759,3699,2185,2
13179,0.274305555555556,0.444760101010101,0.264583333333333,0.0163510101010101,0,1,2014,2014-03-03 00:00:00,2014-03-13 23:59:00,15779,11390,7304,2
22038,0.323062865497076,0.426571637426901,0.220431286549708,0.0299342105263158,0,0,2017,07-Nov-2016,25-Nov-2016 23:59:00,27359,20510,12490,1
20921,0.389875730994152,0.437463450292398,0.164656432748538,0.00800438596491228,0,0,2017,07-Nov-2016,25-Nov-2016 23:59:00,27359,22636,12188,1
20904,0.373581336696091,0.407734342160572,0.17304189435337,0.0456424267899678,0,0,2017,07-Nov-2016,26-Nov-2016 19:47:00,28547,22305,12943,1
20064,0.394146027661628,0.445673850112576,0.145062721132197,0.0151174010935992,0,0,2017,05-Nov-2016 09:50:18,26-Nov-2016 23:59:18,31149,26110,14326,1
21599,0.364536252354049,0.459522128060264,0.167796610169492,0.00814500941619586,0,0,2017,07-Nov-2016,04-Jan-2017 23:59:00,84959,70012,39733,1
21389,0.38530701754386,0.439071637426901,0.151315789473684,0.0243055555555556,0,0,2017,07-Nov-2016,25-Nov-2016 23:59:00,27359,22555,12678,1
20729,0.307513104251602,0.391962725684333,0.300427101533683,9.706853038245e-05,0,0,2017,07-Nov-2016,14-Nov-2016 03:41:00,10301,7206,4039,1
21332,0.386476608187135,0.43983918128655,0.162207602339181,0.0114766081871345,0,0,2017,07-Nov-2016,25-Nov-2016 23:59:00,27359,22608,12348,1
21299,0.385,0.421770833333333,0.174236111111111,0.0189930555555556,0,0,2017,07-Nov-2016,26-Nov-2016 23:59:00,28799,23235,12694,1
21086,0.391319444444444,0.434322916666667,0.161128472222222,0.0132291666666667,0,0,2017,07-Nov-2016,16-Dec-2016 23:59:00,57599,47557,25779,1
22089,0.289236111111111,0.471961805555556,0.233940972222222,0.00486111111111111,0,0,2017,06-Nov-2016,13-Nov-2016 23:59:00,11579,8769,5493,1
12177,0.2865625,0.390260416666667,0.282204861111111,0.0409722222222222,0,0,2017,07-Nov-2016,16-Dec-2016 23:59:00,57599,38985,24839,1
