"","squirrel_id","byear","bcert","litter_id","dates","datee","part","longevity"
"141",902,1988,"Y",401,"1988-04-29","1990-08-22",NA,845
"142",285,1988,"Y",438,"1988-04-29","1988-04-29",NA,0
"143",1589,1988,"Y",438,"1988-04-29","1992-08-20",NA,1574
"144",1731,1988,"Y",438,"1988-04-29","1993-04-11",NA,1808
"145",658,1988,"Y",438,"1988-04-29","1989-08-15",NA,473
"146",262,1988,"Y",401,"1988-04-29","1988-04-29",NA,0
"147",277,1988,"Y",391,"1988-05-01","1988-05-01",NA,0
"148",250,1988,"Y",470,"1988-05-01","1988-05-01",NA,0
"149",352,1988,"Y",391,"1988-05-01","1988-06-30",NA,60
"150",282,1988,"Y",447,"1988-05-01","1988-05-01",NA,0
"151",349,1988,"Y",470,"1988-05-01","1988-06-28",NA,58
"152",863,1988,"Y",391,"1988-05-01","1990-08-01",NA,822
"153",283,1988,"Y",447,"1988-05-01","1988-05-01",NA,0
"154",783,1988,"Y",470,"1988-05-01","1990-06-22",NA,782
"155",2419,1988,"Y",433,"1988-05-02","1994-08-18",NA,2299
"156",590,1988,"Y",433,"1988-05-02","1989-08-15",NA,470
"157",1348,1988,"Y",433,"1988-05-02","1992-06-09",NA,1499
"158",355,1988,"Y",376,"1988-05-02","1988-06-30",NA,59
"159",303,1988,"Y",455,"1988-05-03","1988-05-03",NA,0
"160",691,1988,"Y",455,"1988-05-03","1989-09-25",NA,510
"161",302,1988,"Y",455,"1988-05-03","1988-05-03",NA,0
"162",358,1988,"Y",399,"1988-05-05","1988-07-03",NA,59
"163",364,1988,"Y",399,"1988-05-05","1988-07-07",NA,63
"164",327,1988,"Y",405,"1988-05-05","1988-06-18",NA,44
"165",583,1988,"Y",405,"1988-05-05","1989-08-02",NA,454
"166",1465,1988,"Y",405,"1988-05-05","1992-07-21",NA,1538
"167",351,1988,"Y",399,"1988-05-05","1988-06-29",NA,55
"168",308,1988,"Y",378,"1988-05-07","1988-05-07",NA,0
"169",309,1988,"Y",378,"1988-05-07","1988-05-07",NA,0
"170",392,1988,"Y",378,"1988-05-07","1988-08-23",NA,108
"171",278,1988,"Y",382,"1988-05-08","1988-05-08",NA,0
"172",668,1988,"Y",377,"1988-05-08","1989-08-15",NA,464
"173",382,1988,"Y",382,"1988-05-08","1988-07-21",NA,74
"174",383,1988,"Y",382,"1988-05-08","1988-07-21",NA,74
"175",286,1988,"Y",377,"1988-05-08","1988-05-08",NA,0
"176",374,1988,"Y",377,"1988-05-08","1988-07-18",NA,71
"177",273,1988,"Y",379,"1988-05-09","1988-05-09",NA,0
"178",272,1988,"Y",379,"1988-05-09","1988-05-09",NA,0
"179",362,1988,"Y",380,"1988-05-10","1988-07-06",NA,57
"180",270,1988,"Y",390,"1988-05-10","1988-05-10",NA,0
"181",274,1988,"Y",390,"1988-05-10","1988-05-10",NA,0
"182",275,1988,"Y",390,"1988-05-10","1988-05-10",NA,0
"183",305,1988,"Y",380,"1988-05-10","1988-06-08",NA,29
"184",306,1988,"Y",380,"1988-05-10","1988-06-08",NA,29
"185",299,1988,"Y",383,"1988-05-11","1988-05-11",NA,0
"186",297,1988,"Y",383,"1988-05-11","1988-05-11",NA,0
"187",298,1988,"Y",383,"1988-05-11","1988-05-11",NA,0
"188",271,1988,"Y",384,"1988-05-13","1988-05-13",NA,0
"189",386,1988,"Y",384,"1988-05-13","1988-07-26",NA,74
"190",434,1988,"Y",430,"1988-05-17","1989-08-15",NA,455
"191",1735,1988,"Y",430,"1988-05-17","1993-06-12",NA,1852
"192",296,1988,"Y",430,"1988-05-17","1988-05-17",NA,0
"193",312,1988,"Y",381,"1988-05-19","1988-05-19",NA,0
"194",313,1988,"Y",381,"1988-05-19","1988-05-19",NA,0
"195",314,1988,"Y",381,"1988-05-19","1988-05-19",NA,0
"196",289,1988,"Y",389,"1988-05-20","1988-05-20",NA,0
"197",290,1988,"Y",389,"1988-05-20","1988-05-20",NA,0
"198",291,1988,"Y",389,"1988-05-20","1988-05-20",NA,0
"199",353,1988,"Y",465,"1988-05-20","1988-05-20",NA,0
"200",354,1988,"Y",465,"1988-05-20","1988-05-20",NA,0
"201",318,1988,"Y",392,"1988-05-21","1988-06-15",NA,25
"202",319,1988,"Y",392,"1988-05-21","1988-05-21",NA,0
"203",573,1988,"Y",392,"1988-05-21","1989-08-15",NA,451
"204",342,1988,"Y",421,"1988-05-25","1988-05-25",NA,0
"205",343,1988,"Y",421,"1988-05-25","1988-05-25",NA,0
"206",344,1988,"Y",421,"1988-05-25","1988-05-25",NA,0
"207",345,1988,"Y",421,"1988-05-25","1988-05-25",NA,0
"208",292,1988,"Y",462,"1988-05-29","1988-05-29",NA,0
"209",293,1988,"Y",462,"1988-05-29","1988-05-29",NA,0
"210",294,1988,"Y",462,"1988-05-29","1988-05-29",NA,0
"211",1241,1988,"Y",388,"1988-06-02","1991-08-21",NA,1175
"212",387,1988,"Y",388,"1988-06-02","1988-07-27",NA,55
"213",704,1989,"Y",588,"1989-03-12","1989-09-26",NA,197
"214",544,1989,"Y",588,"1989-03-12","1989-06-30",NA,109
"215",698,1989,"Y",588,"1989-03-12","1989-09-25",NA,196
"216",401,1989,"Y",540,"1989-03-22","1989-03-22",NA,0
"217",603,1989,"Y",526,"1989-03-22","1989-08-15",NA,145
"218",403,1989,"Y",545,"1989-03-24","1989-03-24",NA,0
"219",685,1989,"Y",545,"1989-03-24","1989-08-30",NA,158
"220",408,1989,"Y",541,"1989-03-25","1989-03-25",NA,0
"221",409,1989,"Y",541,"1989-03-25","1989-03-25",NA,0
"222",1655,1989,"Y",542,"1989-03-26","1992-11-22",NA,1337
"223",540,1989,"Y",542,"1989-03-26","1989-06-29",NA,94
"224",632,1989,"Y",542,"1989-03-26","1989-08-08",NA,134
"225",1307,1989,"Y",611,"1989-03-28","1992-06-10",NA,1169
"226",435,1989,"Y",557,"1989-03-28","1989-03-28",NA,0
"227",684,1989,"Y",557,"1989-03-28","1989-08-30",NA,154
"228",514,1989,"Y",549,"1989-03-28","1989-06-12",NA,75
"229",686,1989,"Y",557,"1989-03-28","1989-08-30",NA,154
"230",522,1989,"Y",549,"1989-03-28","1989-06-15",NA,78
"231",547,1989,"Y",549,"1989-03-28","1989-07-02",NA,95
"232",607,1989,"Y",611,"1989-03-28","1989-08-15",NA,139
"233",630,1989,"Y",487,"1989-03-30","1989-08-08",NA,130
"234",631,1989,"Y",487,"1989-03-30","1989-08-15",NA,137
"235",629,1989,"Y",487,"1989-03-30","1989-08-08",NA,130
