squirrel_id,isq,sex,is_preg,doy,days,year,byear,is_mast,RI,RI_odba,season,longevity,age,grid_cone_index,midden_cones,midden_cones_diff,traps_life,traps_rec,trap_wgt,qb,qb_day,qb_night,trans,trans_per,trans_day_ratio,trans_night,trans_day,qb_nest,litter_size
21297,17,1,0,126,5,2015,2013,0,0.199861209249147,0.102677637354111,2,-0.261291443139202,-1.28668601032947,-0.863375453076608,NaN,NaN,-0.915233920841851,NaN,NaN,-1.449671556679,-0.22222523141422,-0.763530590493633,-0.733999334610637,0.534135697727136,0.872832833089935,-0.971319310893153,0.943708955420108,0.438293650793651,NaN
20409,18,0,1,126,5,2015,2013,0,0.153261100738854,0.0785972815956757,2,-0.0716564625136241,-1.09381969263228,-0.863375453076608,NaN,NaN,0.617801932215521,NaN,NaN,-1.30877309751042,-0.048221393556167,-0.906086075948648,-0.526630670587494,3.32129436404345,0.837946680490835,0.18454925581192,2.64881230748424,0.296924603174603,4
12509,19,0,1,126,5,2015,2010,0,0.149308846472624,0.0861941512044548,2,0.511471102910029,1.31615588779628,-0.863375453076608,NaN,NaN,-0.757999474374428,NaN,NaN,-1.16426185733751,-0.0257134344302498,-0.851633551461539,-0.542261474408334,3.11120702738644,0.845496778136348,0.0435896745064238,2.54979352978016,0.187301587301587,4
13305,20,0,1,126,5,2015,2012,0,0.16528689952659,0.0859732060717408,2,-0.0637550049875583,0.179439360483658,-0.863375453076608,NaN,NaN,0.8143449902998,NaN,NaN,-2.44679911387206,-0.949405449328471,-1.09514034635895,-0.549555849524726,3.01316627027983,0.769640086070518,0.917539078600504,1.78536856590473,0.175892857142857,4
20862,21,1,0,126,4,2015,2014,0,0.206359283519268,0.0921468864505126,2,0.407171863565961,-1.16550451867902,-0.863375453076608,NaN,NaN,-0.993851144075562,NaN,NaN,-1.49091747314502,-0.366651302472189,-0.802585491015286,-0.819968755625257,0.331051272292027,0.865135408439228,-0.913369260800893,0.869114809549707,0.404861111111111,NaN
20059,22,0,1,126,5,2015,2014,0,0.229319187493238,0.116491024206135,2,-1.05617807026142,-1.05797727960891,-0.863375453076608,NaN,NaN,-0.915233920841851,NaN,NaN,-2.03735060004883,-0.797043879860724,-0.911592511009142,-0.632659623172192,1.89620193038674,0.829134805775687,-0.134959128480539,1.56554687940168,0.235416666666667,4
19764,23,0,1,126,5,2015,2013,0,0.170229437170852,0.0905932634701037,2,1.05351108919814,-0.474257981799726,-0.863375453076608,NaN,NaN,1.60051722263691,NaN,NaN,-1.41113522596623,-0.176343622426773,-0.915875293833971,-0.54590866196653,3.06218664883314,0.827097082833219,0.264426351885035,2.35571672548018,0.279960317460317,4
13092,24,0,1,126,5,2015,2010,0,0.122254883830945,0.0792093165151394,2,0.999781178020893,1.32810335880407,-0.863375453076608,NaN,NaN,0.735727767066088,NaN,NaN,-0.66810659941053,0.436565418386668,-0.843067985811881,-0.568312814109734,2.76106146629142,0.845672862879561,-0.10676721221944,2.25669794777611,0.395337301587302,4
21382,25,0,1,126,5,2015,2014,0,0.204694182265131,0.0868872229184891,2,-0.533101582035864,-1.60414738282218,-0.863375453076608,NaN,NaN,0.342641650897532,NaN,NaN,-1.64717025158198,-0.44211067825972,-0.855916334286368,-0.568833840903762,2.75405855506952,0.864603812991211,-0.3698917639897,2.32799146772304,0.283134920634921,4
19718,26,1,0,126,4,2015,2013,0,0.193708525378282,0.0942004953686279,2,-0.594732950739177,-0.469137637082102,-0.863375453076608,NaN,NaN,-0.600765027907005,NaN,NaN,-1.57220504574228,-0.425229708915282,-0.788309548265856,-0.792354335541773,0.794994140742921,0.879870353013469,-0.979150398743459,1.12326300565683,0.381018518518519,NaN
