isq,squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
194,21022,0.0489583333333333,0.55875,0.315208333333333,0.0770833333333333,1,0,2015,14-Sep-2015,23-Sep-2015 23:59:00,14399,8751,9156,4
195,20198,0.0415674603174603,0.386011904761905,0.299503968253968,0.272916666666667,0,0,2015,14-Sep-2015,20-Sep-2015 23:59:00,10079,4310,6642,4
196,20873,0.0732371794871795,0.619764957264957,0.224946581196581,0.0820512820512821,1,0,2015,16-Sep-2015,28-Sep-2015 23:59:00,18719,12973,13138,4
197,20945,0.0528549382716049,0.635570987654321,0.254706790123457,0.0568672839506173,0,0,2015,15-Sep-2015,23-Sep-2015 23:59:00,12959,8922,8974,4
198,19601,0.045770202020202,0.528598484848485,0.300568181818182,0.125063131313131,0,0,2015,15-Sep-2015,25-Sep-2015 23:59:00,15839,9098,10354,4
199,20155,0.0467592592592593,0.469212962962963,0.349594907407407,0.13443287037037,0,0,2015,17-Sep-2015,28-Sep-2015 23:59:00,17279,8916,10431,4
202,20729,0.0539930555555556,0.485243055555556,0.320659722222222,0.140104166666667,0,0,2015,26-Sep-2015,29-Sep-2015 23:59:00,5759,3106,3602,4
205,19611,0.028125,0.434895833333333,0.330902777777778,0.206076388888889,1,0,2015,26-Sep-2015,29-Sep-2015 23:59:00,5759,2667,3692,4
206,19583,0.0462962962962963,0.463194444444444,0.229166666666667,0.261342592592593,1,0,2015,27-Sep-2015,29-Sep-2015 23:59:00,4319,2201,3130,4
207,19565,0.0622584541062802,0.649124396135266,0.191938405797101,0.0966787439613527,0,1,2014,2014-02-16 00:00:00,2014-03-10 23:59:00,33059,23561,24701,2
208,12678,0.0746527777777778,0.670853758169935,0.177246732026144,0.0772467320261438,0,1,2014,2014-02-09 00:00:00,2014-03-14 23:59:00,48899,36500,36627,2
209,12007,0.0672835160414362,0.673790606456804,0.16212410741225,0.0968017700895102,0,1,2014,2014-02-14 00:00:00,2014-03-13 14:51:00,39711,29474,30648,2
210,13048,0.0680316091954023,0.662092911877395,0.187140804597701,0.0827346743295019,0,1,2014,2014-02-14 00:00:00,2014-03-14 23:59:00,41699,30490,31104,2
212,12705,0.069973544973545,0.658664021164021,0.182936507936508,0.0884259259259259,0,1,2014,2014-02-11 00:00:00,2014-03-03 23:59:00,30239,22034,22592,2
214,12825,0.0936111111111111,0.665833333333333,0.152361111111111,0.0881944444444445,0,1,2014,2014-02-17 00:00:00,2014-02-21 23:59:00,7199,5468,5429,2
215,19654,0.0678323412698413,0.646180555555556,0.203422619047619,0.0825644841269841,0,1,2014,2014-02-17 00:00:00,2014-03-16 23:59:00,40259,28789,29383,2
216,19694,0.0696180555555556,0.722743055555556,0.130208333333333,0.0774305555555556,0,1,2014,2014-02-10 00:00:00,2014-02-13 23:59:00,5759,4564,4609,2
217,12364,0.0587962962962963,0.671643518518519,0.162384259259259,0.107175925925926,0,1,2014,2014-02-09 00:00:00,2014-02-26 23:59:00,25919,18933,20187,2
219,11983,0.0618055555555556,0.751388888888889,0.13125,0.0555555555555556,0,1,2014,2014-02-16 00:00:00,2014-02-16 23:59:00,1439,1171,1162,2
